longwave_radiance	isotropic_longwave_radiance_in_air
shortwave_radiance	isotropic_shortwave_radiance_in_air
mole_fraction_of_o3_in_air	mole_fraction_of_ozone_in_air
product_of_northward_wind_and_specific_humdity	product_of_northward_wind_and_specific_humidity
electromagnetic_wavelength	radiation_wavelength
specific_potential_energy	specific_gravitational_potential_energy
atmosphere_surface_drag_coefficient_of_heat	surface_drag_coefficient_for_heat_in_air
atmosphere_surface_drag_coefficient_of_momentum	surface_drag_coefficient_for_momentum_in_air
atmosphere_surface_drag_coefficient	surface_drag_coefficient_in_air
swell_wave_period	sea_surface_swell_wave_period
wind_wave_period	sea_surface_wind_wave_period
mass_fraction_of_convective_condensed_water_in_air	mass_fraction_of_convective_cloud_condensed_water_in_air
mass_fraction_of_o3_in_air	mass_fraction_of_ozone_in_air
sea_surface_wave_frequency	wave_frequency
northward_eliassen_palm_flux	northward_eliassen_palm_flux_in_air
northward_heat_flux_due_to_eddy_advection	northward_heat_flux_in_air_due_to_eddy_advection
upward_eliassen_palm_flux	upward_eliassen_palm_flux_in_air
upward_flux_of_eastward_momentum_due_to_nonorographic_eastward_gravity_waves	upward_eastward_momentum_flux_in_air_due_to_nonorographic_eastward_gravity_waves
upward_flux_of_eastward_momentum_due_to_nonorographic_westward_gravity_waves	upward_eastward_momentum_flux_in_air_due_to_nonorographic_westward_gravity_waves
upward_flux_of_eastward_momentum_due_to_orographic_gravity_waves	upward_eastward_momentum_flux_in_air_due_to_orographic_gravity_waves
water_flux_into_ocean	water_flux_into_sea_water
wind_mixing_energy_flux_into_ocean	wind_mixing_energy_flux_into_sea_water
surface_net_downward_radiative_flux_where_land	surface_net_downward_radiative_flux
surface_upward_sensible_heat_flux_where_sea	surface_upward_sensible_heat_flux
moles_of_carbon_monoxide_in_atmosphere	atmosphere_moles_of_carbon_monoxide
moles_of_methane_in_atmosphere	atmosphere_moles_of_methane
moles_of_methyl_bromide_in_atmosphere	atmosphere_moles_of_methyl_bromide
moles_of_methyl_chloride_in_atmosphere	atmosphere_moles_of_methyl_chloride
moles_of_molecular_hydrogen_in_atmosphere	atmosphere_moles_of_molecular_hydrogen
moles_of_nitrous_oxide_in_atmosphere	atmosphere_moles_of_nitrous_oxide
concentration_of_suspended_matter_in_sea_water	mass_concentration_of_suspended_matter_in_sea_water
mole_concentration_of_mesozooplankton_in_sea_water_expressed_as_nitrogen	mole_concentration_of_mesozooplankton_expressed_as_nitrogen_in_sea_water
mole_concentration_of_microzooplankton_in_sea_water_expressed_as_nitrogen	mole_concentration_of_microzooplankton_expressed_as_nitrogen_in_sea_water
mole_concentration_of_organic_detritus_in_sea_water_expressed_as_nitrogen	mole_concentration_of_organic_detritus_expressed_as_nitrogen_in_sea_water
mole_concentration_of_organic_detritus_in_sea_water_expressed_as_silicon	mole_concentration_of_organic_detritus_expressed_as_silicon_in_sea_water
ocean_volume	sea_water_volume
tendency_of_moles_of_methyl_bromide_in_atmosphere	tendency_of_atmosphere_moles_of_methyl_bromide
tendency_of_moles_of_methyl_chloride_in_atmosphere	tendency_of_atmosphere_moles_of_methyl_chloride
tendency_of_moles_of_molecular_hydrogen_in_atmosphere	tendency_of_atmosphere_moles_of_molecular_hydrogen
tendency_of_moles_of_nitrous_oxide_in_atmosphere	tendency_of_atmosphere_moles_of_nitrous_oxide
tendency_of_moles_of_carbon_monoxide_in_middle_atmosphere	tendency_of_middle_atmosphere_moles_of_carbon_monoxide
tendency_of_moles_of_methane_in_middle_atmosphere	tendency_of_middle_atmosphere_moles_of_methane
tendency_of_moles_of_methyl_bromide_in_middle_atmosphere	tendency_of_middle_atmosphere_moles_of_methyl_bromide
tendency_of_moles_of_methyl_chloride_in_middle_atmosphere	tendency_of_middle_atmosphere_moles_of_methyl_chloride
tendency_of_moles_of_molecular_hydrogen_in_middle_atmosphere	tendency_of_middle_atmosphere_moles_of_molecular_hydrogen
tendency_of_moles_of_carbon_monoxide_in_troposphere	tendency_of_troposphere_moles_of_carbon_monoxide
tendency_of_moles_of_methane_in_troposphere	tendency_of_troposphere_moles_of_methane
